mu sigma
2.9355543507437183 2.7949472247791434
2.949669784200852 2.8290668502034637
2.9621094532720473 2.7668283935157367
2.971231993605818 2.7635722609953906
2.9927252466705645 2.7607835681033537
3.0420049757709644 2.780035346730542
2.9364789862206946 2.794022333367672
3.047917537575086 2.814357688419146
3.0487184237706777 2.81238981752682
3.047873680442092 2.814289493190625
2.936775302950536 2.8101325205641308
3.0062992754097326 2.841179119299357
2.997983234936501 2.8420965867393733
3.050520502648841 2.8034352157887525
2.9567954138386865 2.7702712780701484
3.00989453825905 2.8402742104703993
3.0178674248570516 2.7652216789879267
2.9543836681471287 2.8313059362125657
3.0059698191082003 2.8408637377140025
3.0480519900851477 2.8119415957873457
3.049006678561805 2.8089001054667424
3.0206521592986864 2.8367402241008435
3.0463722932955797 2.815366455150256
3.0424265092324125 2.782356470283106
2.986355689311372 2.762028861295274
3.0234508573385903 2.835149938307369
2.956392596531909 2.771519492370933
3.0049726122351745 2.8404357952033763
2.960550421607953 2.769416999053812
2.9410066559196313 2.8160504075589903
2.9458193716545917 2.780596835092499
2.999277278539437 2.840667714628506
3.02573902861208 2.8333000064385194
3.0346652900786975 2.827457505474253
3.0081903997279156 2.8391821072765753
2.992702114194837 2.8406075845415897
2.9681756150934224 2.766763876144431
2.9486045630512763 2.7786677330167726
3.0215161892079005 2.8349353994930704
3.046393353925268 2.7918879193035857
3.0120870795135435 2.837930819102708
3.0363008030685212 2.7778691685746293
3.0470599490654573 2.7953241036146115
2.944591173790909 2.819453006713259
3.032421033986311 2.7747663295113916
2.9510416583210337 2.777049061450632
3.045223963173242 2.790281606110114
2.9860775867375255 2.7633488376239876
2.9863945618817485 2.7633655438841993
2.939622486868582 2.808585340187286
3.0462727632355815 2.809344531007633
3.002678100048877 2.7637824588192346
3.044492598018488 2.7894128673111203
2.9413665249785605 2.7902134948755597
2.9977306890900612 2.8396891756477673
2.961275596574386 2.8324727692034934
2.947213305243191 2.781471649533223
3.0383908121079357 2.7808238233601266
2.990730506231622 2.839578015592727
3.0150428119271866 2.836311070872568
2.963769506910492 2.8334240863508304
3.000935382041363 2.838956233105147
3.031543315845193 2.7753782555755153
2.9805988497526696 2.8382329741629455
2.9405032147691617 2.807759059104826
3.011869062877503 2.7662652260194642
3.0096314781107663 2.765714477855969
2.9425675307781662 2.813301641985282
2.998862798086377 2.8386524615279427
3.0307662084642155 2.8277421126093483
3.010410969583732 2.7663024506952585
3.044803394307346 2.8088065673011666
2.9935202835205925 2.838759477094299
3.045339283166784 2.8057758634317125
3.045548385445601 2.8029189254512303
2.9927977364597886 2.7644425421966723
